nom,latitude,longitude,categorie,statut,description,avis,note
Gruppomimo,48.87083126923687, 2.3426256815618713,Resto,A faire,"Resto italien pas cher et apparamment pas mal bon","À volonté tous les midis en semaine (18€) & les lundi et mardi soir (25€), Le reste du temps les plats sont à la carte",4.3
Gruppomimo,48.884253242989175, 2.265638426983197,Resto,A faire,"Resto italien pas cher et apparamment pas mal bon","À volonté tous les midis en semaine (18€) & les lundi et mardi soir (25€), Le reste du temps les plats sont à la carte",4.3
Maison Caillebotte,48.71411838394666, 2.4887763238798475,Musee,A faire,"Maison du peintre impressioniste, avec jardin et parc gratuit au bord d'une riviere","L'exterieur est gratuit mais l'entree dans la maison est payante",4.4
Maslow 1er,48.85846449286002, 2.344146936752883,Resto,A faire,"Resto vegetarien, assietes a partager entre 5 et 11 euros, tres bien note, a l'aire tres bon","Prendre 2-3 assietes par personne",4.15
Maslow Temple,48.86485090014169, 2.363759817835543,Resto,A faire,"Resto vegetarien, assietes a partager entre 5 et 11 euros, tres bien note, a l'aire tres bon","Prendre 2-3 assietes par personne",4.15
Bibliothèque Mazarine,48.85791653087637, 2.337062985362631,Musee,A faire,"Tres vielle bibliotheque, tres jolie",,3.85
Stohrer,48.86541964205999, 2.3468148969060767,Boulangerie,A faire,"Plus vielle patisserie de paris",,4.5
Mariage Frères,48.85785575368495, 2.3566486987585242,Endroit,A faire,"Plus vieux salon de the","Tres rafine et elegant, a l'aire tres bien mais tres cher",3.8
Le Procope,48.85319156317633, 2.3386673423277324,Resto,A faire,"Bistro typique, bonne qualite, mieux que les bouillons classiques, un peut plus cher mais reste ok","25-30 euros le plat",4
Restaurant L'Afghanistan,48.862504036229005, 2.380038971163866,Resto,A faire,"Restaurant afghan, plats entre 15 et 18 euros","Apparamment trees bon",4.3
La Joie,48.86189853645051, 2.3826775969058804,Resto,A faire,"Restaurant sri-lankais, tres tres bon, plat epices, ...","E + P + D = 24 euros meme le weekend (a midi)",4.6
JAMROCK PARIS,48.851399475237535, 2.3801811846554646,Resto,A faire,"Jamaiquain, apparamment super bon, ambiance tres chil et cocktails hypr bons aussi. Plats entre 15 et 20 euros","",4.34
Bidoche Oberkampf,48.86518800266929, 2.3668553944411896,Resto,A faire,"Boucherie qui fait aussi resto en arriere boutique et ramenent des bons morceux de viande (entre autres matures), menu E + P + D a 26 euros le midi en semaine et hors jours feries",,4.5
Bidoche Batignolles,48.88423938765186, 2.32268644108794,Resto,A faire,"Boucherie qui fait aussi resto en arriere boutique et ramenent des bons morceux de viande (entre autres matures), menu E + P + D a 26 euros le midi en semaine et hors jours feries",,4.5
